@ 86400 IN SOA dns hostmaster.dns 2015042200 600 7200 604800 3600
@ 86400 IN MX 10 mx0
86400 IN MX 20 dreki
vel-397 86400 IN A 130.208.225.142
vel-398 86400 IN A 130.208.225.143
vel-399 86400 IN A 130.208.225.144
vel-411 86400 IN A 130.208.225.156
nagli 86400 IN A 130.208.224.210
vel-413 86400 IN A 130.208.225.158
vel-131 86400 IN A 130.208.224.131
vel-415 86400 IN A 130.208.225.160
vel-416 86400 IN A 130.208.225.161
vel-417 86400 IN A 130.208.225.162
vel-310 86400 IN A 130.208.225.55
vel-419 86400 IN A 130.208.225.164
cisco-main 86400 IN A 130.208.224.21
vefir 300 IN CNAME sites
vel-423 86400 IN A 130.208.225.168
vel-424 86400 IN A 130.208.225.169
vel-425 86400 IN A 130.208.225.170
vel-426 86400 IN A 130.208.225.171
vel-427 86400 IN A 130.208.225.172
cisco-bhus2 86400 IN A 130.208.224.158
vel-429 86400 IN A 130.208.225.174
eldur 300 IN CNAME hyperv2
sftp 86400 IN A 130.208.224.68
unakwifi 86400 IN A 130.208.224.213
vel-434 86400 IN A 130.208.225.179
vel-435 86400 IN A 130.208.225.180
vel-436 86400 IN A 130.208.225.181
vel-437 86400 IN A 130.208.225.182
vel-438 86400 IN A 130.208.225.183
vel-440 86400 IN A 130.208.225.185
vel-441 86400 IN A 130.208.225.186
vel-442 86400 IN A 130.208.225.187
vel-443 86400 IN A 130.208.225.188
vel-444 86400 IN A 130.208.225.189
vel-130 86400 IN A 130.208.224.130
vel-446 86400 IN A 130.208.225.191
vel-447 86400 IN A 130.208.225.192
vel-448 86400 IN A 130.208.225.193
cisco-a-hus-east 86400 IN A 130.208.224.250
vel-451 86400 IN A 130.208.225.196
vel-452 86400 IN A 130.208.225.197
vel-227057 86400 IN A 130.208.227.57
help 300 IN CNAME hysing
vel-455 86400 IN A 130.208.225.200
vel-456 86400 IN A 130.208.225.201
vel-457 86400 IN A 130.208.225.202
vel-458 86400 IN A 130.208.225.203
vel-459 86400 IN A 130.208.225.204
ex2 86400 IN A 130.208.224.170
vel-462 86400 IN A 130.208.225.207
vel-463 86400 IN A 130.208.225.208
vel-464 86400 IN A 130.208.225.209
vel-465 86400 IN A 130.208.225.210
vel-466 86400 IN A 130.208.225.211
vel-467 86400 IN A 130.208.225.212
vel-468 86400 IN A 130.208.225.213
unix1 86400 IN A 130.208.224.66
vel-471 86400 IN A 130.208.225.216
vel-472 86400 IN A 130.208.225.217
vel-227230 86400 IN A 130.208.227.230
vel-474 86400 IN A 130.208.225.219
vel-475 86400 IN A 130.208.225.220
vel-476 86400 IN A 130.208.225.221
vel-477 86400 IN A 130.208.225.222
vel-478 86400 IN A 130.208.225.223
vel-479 86400 IN A 130.208.225.224
vel-481 86400 IN A 130.208.225.226
vel-482 86400 IN A 130.208.225.227
vel-322 86400 IN A 130.208.225.67
vel-484 86400 IN A 130.208.225.229
vel-485 86400 IN A 130.208.225.230
vel-227058 86400 IN A 130.208.227.58
vel-487 86400 IN A 130.208.225.232
_xmpp-server 300 IN SRV 0 0 5269 sip
vel-489 86400 IN A 130.208.225.234
vel-491 86400 IN A 130.208.225.236
vel-492 86400 IN A 130.208.225.237
eva 86400 IN A 130.208.224.228
vel-494 86400 IN A 130.208.225.239
vel-495 86400 IN A 130.208.225.240
vel-496 86400 IN A 130.208.225.241
vel-497 86400 IN A 130.208.225.242
fs0 86400 IN A 130.208.224.192
fs1 86400 IN A 130.208.224.11
fs3 86400 IN A 130.208.224.205
fs4 86400 IN A 130.208.224.178
vel-514 86400 IN A 130.208.226.4
docutek 86400 IN A 130.208.224.194
vel-516 86400 IN A 130.208.226.6
vel-517 86400 IN A 130.208.226.7
vel-518 86400 IN A 130.208.226.8
vel-519 86400 IN A 130.208.226.9
cisco-lhus2 86400 IN A 130.208.224.87
vel-522 86400 IN A 130.208.226.12
vel-524 86400 IN A 130.208.226.14
vel-525 86400 IN A 130.208.226.15
isavpn 300 IN CNAME vpn-unak
vel-527 86400 IN A 130.208.226.17
vel-528 86400 IN A 130.208.226.18
vel-227060 86400 IN A 130.208.227.60
vel-503 86400 IN A 130.208.225.248
cisco-ahus-vest 86400 IN A 130.208.224.30
vel-533 86400 IN A 130.208.226.23
vel-534 86400 IN A 130.208.226.24
vel-535 86400 IN A 130.208.226.25
vel-536 86400 IN A 130.208.226.26
vel-537 86400 IN A 130.208.226.27
vel-538 86400 IN A 130.208.226.28
vefur2 86400 IN A 130.208.224.102
vel-541 86400 IN A 130.208.226.31
vel-542 86400 IN A 130.208.226.32
vel-543 86400 IN A 130.208.226.33
vel-544 86400 IN A 130.208.226.34
vel-529 86400 IN A 130.208.226.19
vel-546 86400 IN A 130.208.226.36
vel-547 86400 IN A 130.208.226.37
vel-548 86400 IN A 130.208.226.38
vel-227232 86400 IN A 130.208.227.232
vel-551 86400 IN A 130.208.226.41
vefur 60 IN A 130.208.224.102
vel-553 86400 IN A 130.208.226.43
vel-554 86400 IN A 130.208.226.44
vel-302 86400 IN A 130.208.225.47
vel-556 86400 IN A 130.208.226.46
vel-557 86400 IN A 130.208.226.47
vel-558 86400 IN A 130.208.226.48
vel-559 86400 IN A 130.208.226.49
vel-561 86400 IN A 130.208.226.51
vel-562 86400 IN A 130.208.226.52
vel-563 86400 IN A 130.208.226.53
vel-564 86400 IN A 130.208.226.54
vel-565 86400 IN A 130.208.226.55
vel-566 86400 IN A 130.208.226.56
vel-567 86400 IN A 130.208.226.57
vel-568 86400 IN A 130.208.226.58
vel-569 86400 IN A 130.208.226.59
vel-571 86400 IN A 130.208.226.61
vel-370 86400 IN A 130.208.225.115
vel-573 86400 IN A 130.208.226.63
vel-574 86400 IN A 130.208.226.64
vel-575 86400 IN A 130.208.226.65
vel-576 86400 IN A 130.208.226.66
vel-577 86400 IN A 130.208.226.67
vel-578 86400 IN A 130.208.226.68
vel-579 86400 IN A 130.208.226.69
vel-581 86400 IN A 130.208.226.71
vel-582 86400 IN A 130.208.226.72
vel-227233 86400 IN A 130.208.227.233
vel-584 86400 IN A 130.208.226.74
vel-585 86400 IN A 130.208.226.75
vel-586 86400 IN A 130.208.226.76
vel-587 86400 IN A 130.208.226.77
spy 86400 IN A 130.208.224.14
vel-589 86400 IN A 130.208.226.79
vel-591 86400 IN A 130.208.226.81
vel-592 86400 IN A 130.208.226.82
vel-593 86400 IN A 130.208.226.83
vel-594 86400 IN A 130.208.226.84
vel-595 86400 IN A 130.208.226.85
vel-596 86400 IN A 130.208.226.86
host-229 86400 IN A 130.208.228.229
vel-598 86400 IN A 130.208.226.88
kort-sol 86400 IN A 130.208.224.134
sub-64-gw 86400 IN A 130.208.228.65
vel-604 86400 IN A 130.208.226.94
vel-613 86400 IN A 130.208.226.103
vel-610 86400 IN A 130.208.226.100
vel-615 86400 IN A 130.208.226.105
vel-616 86400 IN A 130.208.226.106
adam-02 86400 IN A 130.208.224.222
adam-03 86400 IN A 130.208.224.223
vel-619 86400 IN A 130.208.226.109
vel-621 86400 IN A 130.208.226.111
vel-622 86400 IN A 130.208.226.112
vel-623 86400 IN A 130.208.226.113
media 86400 IN A 130.208.224.201
adam-10 86400 IN A 130.208.224.230
vel-227234 86400 IN A 130.208.227.234
vel-627 86400 IN A 130.208.226.117
vel-628 86400 IN A 130.208.226.118
vel-629 86400 IN A 130.208.226.119
vafri-1 86400 IN A 130.208.225.2
vafri-2 86400 IN A 130.208.225.3
hfj 86400 IN A 130.208.255.1
vel-380 86400 IN A 130.208.225.125
vel-635 86400 IN A 130.208.226.125
vel-636 86400 IN A 130.208.226.126
vel-637 86400 IN A 130.208.226.127
vel-549 86400 IN A 130.208.226.39
vel-639 86400 IN A 130.208.226.129
vel-641 86400 IN A 130.208.226.131
vel-642 86400 IN A 130.208.226.132
vel-643 86400 IN A 130.208.226.133
simi 300 IN CNAME 130.208.224.156
vel-599 86400 IN A 130.208.226.89
vel-646 86400 IN A 130.208.226.136
vel-647 86400 IN A 130.208.226.137
bladekvm 86400 IN A 130.208.224.195
fjar-007 86400 IN A 130.208.228.7
fjar-008 86400 IN A 130.208.228.8
fjar-009 86400 IN A 130.208.228.9
gps 86400 IN A 130.208.224.220
vel-654 86400 IN A 130.208.226.144
vel-655 86400 IN A 130.208.226.145
vel-656 86400 IN A 130.208.226.146
vel-657 86400 IN A 130.208.226.147
vel-612 86400 IN A 130.208.226.102
vel-227235 86400 IN A 130.208.227.235
vel-661 86400 IN A 130.208.226.151
fjar-020 86400 IN A 130.208.228.30
vel-663 86400 IN A 130.208.226.153
vel-664 86400 IN A 130.208.226.154
vel-665 86400 IN A 130.208.226.155
vel-227150 86400 IN A 130.208.227.150
vel-667 86400 IN A 130.208.226.157
vel-668 86400 IN A 130.208.226.158
vel-669 86400 IN A 130.208.226.159
vel-671 86400 IN A 130.208.226.161
unifi 86400 IN A 130.208.224.204
fjar-031 86400 IN A 130.208.228.31
fjar-032 86400 IN A 130.208.228.32
fjar-033 86400 IN A 130.208.228.33
vel-676 86400 IN A 130.208.226.166
vel-677 86400 IN A 130.208.226.167
vel-678 86400 IN A 130.208.226.168
vel-679 86400 IN A 130.208.226.169
fjar-038 86400 IN A 130.208.228.38
fjar-040 86400 IN A 130.208.228.40
ibm-blade 86400 IN A 130.208.224.161
fjar-042 86400 IN A 130.208.228.42
fjar-043 86400 IN A 130.208.228.43
fjar-044 86400 IN A 130.208.228.44
fjar-045 86400 IN A 130.208.228.45
fjar-046 86400 IN A 130.208.228.46
fjar-047 86400 IN A 130.208.228.47
fjar-048 86400 IN A 130.208.228.48
brey-149 86400 IN A 130.208.228.149
brey-151 86400 IN A 130.208.228.151
brey-152 86400 IN A 130.208.228.152
fjar-053 86400 IN A 130.208.228.53
fjar-054 86400 IN A 130.208.228.54
fjar-055 86400 IN A 130.208.228.55
fjar-056 86400 IN A 130.208.228.56
fjar-057 86400 IN A 130.208.228.57
fjar-058 86400 IN A 130.208.228.58
fjar-059 86400 IN A 130.208.228.59
vel-545 86400 IN A 130.208.226.35
fjar-062 86400 IN A 130.208.228.62
fjar-063 86400 IN A 130.208.228.63
vel-716 86400 IN A 130.208.226.206
vel-717 86400 IN A 130.208.226.207
vel-718 86400 IN A 130.208.226.208
vel-719 86400 IN A 130.208.226.209
vel-721 86400 IN A 130.208.226.211
fjar-069 86400 IN A 130.208.228.69
fjar-071 86400 IN A 130.208.228.71
fjar-072 86400 IN A 130.208.228.72
vel-725 86400 IN A 130.208.226.215
vel-512 86400 IN A 130.208.226.2
vel-727 86400 IN A 130.208.226.217
vel-728 86400 IN A 130.208.226.218
vel-729 86400 IN A 130.208.226.219
vel-731 86400 IN A 130.208.226.221
vel-732 86400 IN A 130.208.226.222
vel-733 86400 IN A 130.208.226.223
vel-734 86400 IN A 130.208.226.224
vel-735 86400 IN A 130.208.226.225
vel-736 86400 IN A 130.208.226.226
vel-737 86400 IN A 130.208.226.227
vel-738 86400 IN A 130.208.226.228
vel-739 86400 IN A 130.208.226.229
vel-741 86400 IN A 130.208.226.231
fjar-090 86400 IN A 130.208.228.90
fjar-101 86400 IN A 130.208.228.101
fjar-102 86400 IN A 130.208.228.102
fjar-093 86400 IN A 130.208.228.93
fjar-094 86400 IN A 130.208.228.94
fjar-095 86400 IN A 130.208.228.95
fjar-096 86400 IN A 130.208.228.96
fjar-097 86400 IN A 130.208.228.97
fjar-098 86400 IN A 130.208.228.98
fjar-099 86400 IN A 130.208.228.99
fjar-111 86400 IN A 130.208.228.111
fjar-112 86400 IN A 130.208.228.112
fjar-113 86400 IN A 130.208.228.113
fjar-114 86400 IN A 130.208.224.114
86400 IN A 130.208.228.114
fjar-115 86400 IN A 130.208.228.115
fjar-116 86400 IN A 130.208.228.116
fjar-117 86400 IN A 130.208.228.117
fjar-118 86400 IN A 130.208.228.118
ibm-006 86400 IN A 130.208.224.166
fjar-121 86400 IN A 130.208.228.121
fjar-122 86400 IN A 130.208.224.122
86400 IN A 130.208.228.122
fjar-123 86400 IN A 130.208.228.123
fjar-124 86400 IN A 130.208.228.124
cisco-e-hus 86400 IN A 130.208.224.93
fjar-126 86400 IN A 130.208.228.126
fjar-127 86400 IN A 130.208.228.127
san35001 86400 IN A 130.208.224.183
fjar-129 86400 IN A 130.208.224.129
vel-404 86400 IN A 130.208.225.149
vel-630 86400 IN A 130.208.226.120
vel-227153 86400 IN A 130.208.227.153
webcasting 86400 IN A 130.208.228.6
cisco-RHUS-2h-vestur 86400 IN A 130.208.224.74
227-gw 86400 IN A 130.208.227.1
vel-450 86400 IN A 130.208.225.195
vel-708 86400 IN A 130.208.226.198
vel-632 86400 IN A 130.208.226.122
vel-702 86400 IN A 130.208.226.192
vel-633 86400 IN A 130.208.226.123
vel-301 86400 IN A 130.208.225.46
csserver 86400 IN A 130.208.224.244
vel-634 86400 IN A 130.208.226.124
vel-530 86400 IN A 130.208.226.20
vel-304 86400 IN A 130.208.225.49
sts 86400 IN A 130.208.224.145
vel-620 86400 IN A 130.208.226.110
canon-talk 86400 IN A 130.208.224.54
86400 IN A 130.208.227.31
os-rhus1 86400 IN A 130.208.226.251
os-rhus2 86400 IN A 130.208.226.252
os-rhus3 86400 IN A 130.208.226.253
86400 IN A 130.208.226.254
vel-638 86400 IN A 130.208.226.128
vel-420 86400 IN A 130.208.225.165
fjar-200 86400 IN A 130.208.228.200
fjar-201 86400 IN A 130.208.228.201
fjar-202 86400 IN A 130.208.228.202
fjar-203 86400 IN A 130.208.228.203
fjar-204 86400 IN A 130.208.228.204
fjar-205 86400 IN A 130.208.228.205
fjar-206 86400 IN A 130.208.228.206
fjar-207 86400 IN A 130.208.228.207
fjar-198 86400 IN A 130.208.228.198
fjar-199 86400 IN A 130.208.228.199
fjar-211 86400 IN A 130.208.228.211
fjar-212 86400 IN A 130.208.228.212
fjar-213 86400 IN A 130.208.228.213
fjar-214 86400 IN A 130.208.228.214
fjar-215 86400 IN A 130.208.228.215
fjar-216 86400 IN A 130.208.228.216
cisco-o-hus 86400 IN A 130.208.224.26
fjar-218 86400 IN A 130.208.228.218
fjar-220 86400 IN A 130.208.228.220
fjar-221 86400 IN A 130.208.228.221
fjar-222 86400 IN A 130.208.228.222
fjar-223 86400 IN A 130.208.228.223
vel-707 86400 IN A 130.208.226.197
access 86400 IN A 130.208.224.214
vel-521 86400 IN A 130.208.226.11
vel-644 86400 IN A 130.208.226.134
vel-303 86400 IN A 130.208.225.48
vel-715 86400 IN A 130.208.226.205
vel-645 86400 IN A 130.208.226.135
fjar-240 86400 IN A 130.208.228.240
fjar-241 86400 IN A 130.208.228.241
fjar-242 86400 IN A 130.208.228.242
fjar-243 86400 IN A 130.208.228.243
fjar-244 86400 IN A 130.208.228.244
fjar-245 86400 IN A 130.208.228.245
fjar-246 86400 IN A 130.208.228.246
fjar-247 86400 IN A 130.208.228.247
fjar-248 86400 IN A 130.208.228.248
fjar-250 86400 IN A 130.208.228.250
fjar-251 86400 IN A 130.208.228.251
fjar-252 86400 IN A 130.208.228.252
fjar-253 86400 IN A 130.208.228.253
fjar-254 86400 IN A 130.208.228.254
fjar-255 86400 IN A 130.208.228.255
print-004 86400 IN A 130.208.227.5
blade 86400 IN A 130.208.224.199
vel-227035 86400 IN A 130.208.227.35
vel-631 86400 IN A 130.208.226.121
vel-294 86400 IN A 130.208.225.39
homer 86400 IN A 130.208.224.200
vel-227036 86400 IN A 130.208.227.36
vel-692 86400 IN A 130.208.226.182
vel-227037 86400 IN A 130.208.227.37
lyncedge 86400 IN A 130.208.224.216
vel-552 86400 IN A 130.208.226.42
tungl 86400 IN A 130.208.224.219
vel-508 86400 IN A 130.208.225.253
print-010 86400 IN A 130.208.227.11
print-011 86400 IN A 130.208.227.12
delltape 86400 IN A 130.208.224.198
vel-295 86400 IN A 130.208.225.40
vel-724 86400 IN A 130.208.226.214
vel-227042 86400 IN A 130.208.227.42
vel-405 86400 IN A 130.208.225.150
vel-625 86400 IN A 130.208.226.115
vel-227043 86400 IN A 130.208.227.43
phone 86400 IN A 130.208.224.156
vel-227044 86400 IN A 130.208.227.44
vel-227045 86400 IN A 130.208.227.45
virt-008 86400 IN A 130.208.228.18
solborg-a 86400 IN A 130.208.224.120
vel-227046 86400 IN A 130.208.227.46
solborg-c 86400 IN A 130.208.224.124
vel-296 86400 IN A 130.208.225.41
vel-227047 86400 IN A 130.208.227.47
asa01 300 IN CNAME asa
asa02 86400 IN A 130.208.224.225
asa03 86400 IN A 130.208.224.226
asa04 86400 IN A 130.208.224.227
vel-227048 86400 IN A 130.208.227.48
vel-227160 86400 IN A 130.208.227.160
lync 86400 IN A 130.208.224.214
print-020 86400 IN A 130.208.227.21
vel-227051 86400 IN A 130.208.227.51
kms 86400 IN A 130.208.224.12
vel-607 86400 IN A 130.208.226.97
vel-227052 86400 IN A 130.208.227.52
vel-421 86400 IN A 130.208.225.166
vel-307 86400 IN A 130.208.225.52
vel-726 86400 IN A 130.208.226.216
print-023 86400 IN A 130.208.227.24
ha-l101 86400 IN A 130.208.224.118
video 86400 IN A 130.208.224.173
vel-227054 86400 IN A 130.208.227.54
ex2-old 86400 IN A 130.208.224.174
vel-555 86400 IN A 130.208.226.45
print-festa1 86400 IN A 130.208.227.18
print-festa2 86400 IN A 130.208.227.19
vel-469 86400 IN A 130.208.225.214
hp-rektor 86400 IN A 130.208.224.55
vel-227056 86400 IN A 130.208.227.56
hyperv0 86400 IN A 130.208.224.207
svali 86400 IN A 130.208.228.76
vel-709 86400 IN A 130.208.226.199
ehweb 300 IN CNAME sites
vel-412 86400 IN A 130.208.225.157
vel-298 86400 IN A 130.208.225.43
vel-227053 86400 IN A 130.208.227.53
vel-754 86400 IN A 130.208.226.244
vel-640 86400 IN A 130.208.226.130
vel-227059 86400 IN A 130.208.227.59
lenel 86400 IN A 130.208.224.65
webdemo 300 IN CNAME sms
vel-675 86400 IN A 130.208.226.165
vel-227076 86400 IN A 130.208.227.76
www.en 300 IN CNAME vefur
virt-005 86400 IN A 130.208.228.15
asa91 86400 IN A 130.208.228.91
asa92 86400 IN A 130.208.228.92
virt-006 86400 IN A 130.208.228.16
vel-309 86400 IN A 130.208.225.54
virt-007 86400 IN A 130.208.228.17
vel-649 86400 IN A 130.208.226.139
vel-260 86400 IN A 130.208.225.5
fw-innra 300 IN CNAME orbylgja
kiosk-motuneyti 86400 IN A 130.208.228.77
vel-227065 86400 IN A 130.208.227.65
vel-227209 86400 IN A 130.208.227.209
vel-681 86400 IN A 130.208.226.171
fjar-039 86400 IN A 130.208.228.39
rf-gw 86400 IN A 130.208.224.246
fjar-041 86400 IN A 130.208.228.41
dellsan 86400 IN A 130.208.224.197
vel-227070 86400 IN A 130.208.227.70
vel-583 86400 IN A 130.208.226.73
ibm-swiss1 86400 IN A 130.208.224.162
vel-227200 86400 IN A 130.208.227.200
ibm-swiss2 86400 IN A 130.208.224.163
vel-227073 86400 IN A 130.208.227.73
stefan 86400 IN A 130.208.224.111
virt-010 86400 IN A 130.208.228.20
festa 86400 IN A 130.208.228.70
vel-688 86400 IN A 130.208.226.178
vel-270 86400 IN A 130.208.225.15
brey-147 86400 IN A 130.208.228.147
webconf 86400 IN A 130.208.224.217
vel-271 86400 IN A 130.208.225.16
www4 300 IN CNAME vefur
brey-148 86400 IN A 130.208.228.148
nas 86400 IN A 130.208.224.243
nat 86400 IN A 130.208.224.252
blakkur 300 IN A 130.208.143.148
vel-560 86400 IN A 130.208.226.50
brey-150 86400 IN A 130.208.228.150
print-net 86400 IN A 130.208.228.192
vel-693 86400 IN A 130.208.226.183
vel-274 86400 IN A 130.208.225.19
vel-695 86400 IN A 130.208.226.185
hysing 86400 IN A 130.208.224.15
vel-227080 86400 IN A 130.208.227.80
_autodiscover._tcp 86400 IN SRV 0 0 443 ex2
vel-227081 86400 IN A 130.208.227.81
vel-276 86400 IN A 130.208.225.21
nordkvist 300 IN A 157.157.147.134
vel-691 86400 IN A 130.208.226.181
vel-696 86400 IN A 130.208.226.186
test 300 IN CNAME hysing
vel-227185 86400 IN A 130.208.227.185
vel-697 86400 IN A 130.208.226.187
sim-138 86400 IN A 130.208.228.138
vel-227084 86400 IN A 130.208.227.84
vel-280 86400 IN A 130.208.225.25
vel-390 86400 IN A 130.208.225.135
vel-699 86400 IN A 130.208.226.189
vel-336 86400 IN A 130.208.225.81
vel-281 86400 IN A 130.208.225.26
posi-bok 86400 IN A 130.208.228.132
vel-314 86400 IN A 130.208.225.59
wireless 300 IN A 130.208.224.77
vel-711 86400 IN A 130.208.226.201
vel-755 86400 IN A 130.208.226.245
vel-282 86400 IN A 130.208.225.27
stefania 300 IN CNAME fs3
mx0 86400 IN A 130.208.224.8
openvpn 86400 IN A 130.208.224.248
vel-227110 86400 IN A 130.208.227.110
vel-713 86400 IN A 130.208.226.203
vel-284 86400 IN A 130.208.225.29
vel-227090 86400 IN A 130.208.227.90
mrtg 300 IN CNAME xanadu
vel-624 86400 IN A 130.208.226.114
vel-401 86400 IN A 130.208.225.146
vel-227101 86400 IN A 130.208.227.101
vel-286 86400 IN A 130.208.225.31
vel-227102 86400 IN A 130.208.227.102
orion 86400 IN A 130.208.224.36
vel-617 86400 IN A 130.208.226.107
vel-648 86400 IN A 130.208.226.138
vel-227103 86400 IN A 130.208.227.103
vel-288 86400 IN A 130.208.225.33
sites 86400 IN A 130.208.224.17
vel-227104 86400 IN A 130.208.227.104
cisco-borgir7h 86400 IN A 130.208.224.32
streamer 300 IN CNAME vel-740
vel-227105 86400 IN A 130.208.227.105
vel-291 86400 IN A 130.208.225.36
vel-402 86400 IN A 130.208.225.147
vel-227106 86400 IN A 130.208.227.106
vel-292 86400 IN A 130.208.225.37
vel-316 86400 IN A 130.208.225.61
vel-227107 86400 IN A 130.208.227.107
vel-293 86400 IN A 130.208.225.38
cisco-k-hus 86400 IN A 130.208.224.25
86400 IN A 130.208.224.91
solborg-pb 86400 IN A 130.208.224.123
solborg-pc 86400 IN A 130.208.224.125
vel-227108 86400 IN A 130.208.227.108
vel-227170 86400 IN A 130.208.227.170
cisco-server-2 86400 IN A 130.208.224.27
vel-227109 86400 IN A 130.208.227.109
simi-140 86400 IN A 130.208.228.140
vel-730 86400 IN A 130.208.226.220
vel-227111 86400 IN A 130.208.227.111
sim-160 86400 IN A 130.208.228.160
virt-011 86400 IN A 130.208.228.21
vel-403 86400 IN A 130.208.225.148
vel-227112 86400 IN A 130.208.227.112
vel-297 86400 IN A 130.208.225.42
sql1 86400 IN A 130.208.224.175
vel-498 86400 IN A 130.208.225.243
sim-162 86400 IN A 130.208.228.162
vel-227040 86400 IN A 130.208.227.40
vel-651 86400 IN A 130.208.226.141
klikk 300 IN CNAME aragon.mannheimar.is.
vel-299 86400 IN A 130.208.225.44
vel-227115 86400 IN A 130.208.227.115
vel-311 86400 IN A 130.208.225.56
vel-480 86400 IN A 130.208.225.225
vel-710 86400 IN A 130.208.226.200
vel-312 86400 IN A 130.208.225.57
old 300 IN CNAME vefur
vel-609 86400 IN A 130.208.226.99
vel-313 86400 IN A 130.208.225.58
vel-499 86400 IN A 130.208.225.244
prent 300 IN CNAME tungl
vel-652 86400 IN A 130.208.226.142
vel-227120 86400 IN A 130.208.227.120
vel-315 86400 IN A 130.208.225.60
vstudio 86400 IN A 130.208.227.122
steff 86400 IN A 130.208.225.184
vel-650 86400 IN A 130.208.226.140
sim-170 86400 IN A 130.208.228.170
spss 300 IN CNAME fs3
vel-317 86400 IN A 130.208.225.62
kort-sol2 86400 IN A 130.208.224.137
vel-318 86400 IN A 130.208.225.63
vel-319 86400 IN A 130.208.225.64
vitur 86400 IN A 130.208.224.234
vel-756 86400 IN A 130.208.226.246
sub-64 86400 IN A 130.208.228.64
moodletest 300 IN A 130.208.224.239
vel-653 86400 IN A 130.208.226.143
vel-227049 86400 IN A 130.208.227.49
vel-321 86400 IN A 130.208.225.66
vel-698 86400 IN A 130.208.226.188
cisco-dhus1 86400 IN A 130.208.224.78
fjar-100 86400 IN A 130.208.228.100
ex22 86400 IN A 130.208.224.169
hlada 300 IN CNAME docutek
vel-406 86400 IN A 130.208.225.151
vel-743 86400 IN A 130.208.226.233
sim-177 86400 IN A 130.208.228.177
ting-pa 86400 IN A 130.208.224.127
vel-740 86400 IN A 130.208.226.230
vel-227130 86400 IN A 130.208.227.130
vel-325 86400 IN A 130.208.225.70
vs-virtual 86400 IN A 130.208.224.249
fjar-103 86400 IN A 130.208.228.103
posi-ting 86400 IN A 130.208.228.133
nordmedia 300 IN CNAME sites
fjar-104 86400 IN A 130.208.228.104
fjar-107 86400 IN A 130.208.228.107
sim-181 86400 IN A 130.208.228.181
vel-540 86400 IN A 130.208.226.30
fjar-105 86400 IN A 130.208.228.105
vel-328 86400 IN A 130.208.225.73
vel-227071 86400 IN A 130.208.227.71
fjar-106 86400 IN A 130.208.228.106
cisco-ahus-1 86400 IN A 130.208.224.31
vel-320 86400 IN A 130.208.225.65
fw-unak 86400 IN A 130.208.224.177
adam 86400 IN A 130.208.224.101
225-gw 86400 IN A 130.208.225.1
fjar-108 86400 IN A 130.208.228.108
heima-rektor 86400 IN A 130.208.228.82
vel-332 86400 IN A 130.208.225.77
vel-570 86400 IN A 130.208.226.60
fjar-109 86400 IN A 130.208.228.109
sim-186 86400 IN A 130.208.228.186
virtual 86400 IN A 130.208.224.179
vel-753 86400 IN A 130.208.226.243
vel-334 86400 IN A 130.208.225.79
virt-012 86400 IN A 130.208.228.22
vel-408 86400 IN A 130.208.225.153
vel-227140 86400 IN A 130.208.227.140
vel-335 86400 IN A 130.208.225.80
vel-323 86400 IN A 130.208.225.68
vel-742 86400 IN A 130.208.226.232
cisco-server 86400 IN A 130.208.224.28
radius 86400 IN A 130.208.224.64
sim-190 86400 IN A 130.208.228.190
posi-gagn 86400 IN A 130.208.228.131
vel-337 86400 IN A 130.208.225.82
office365 300 IN CNAME hysing
sol-k203 86400 IN A 130.208.224.37
fjar-110 86400 IN A 130.208.228.110
simi-141 86400 IN A 130.208.228.141
simi-142 86400 IN A 130.208.228.142
simi-143 86400 IN A 130.208.228.143
simi-144 86400 IN A 130.208.228.144
simi-145 86400 IN A 130.208.228.145
simi-146 86400 IN A 130.208.228.146
devis 300 IN CNAME @
vel-409 86400 IN A 130.208.225.154
adfs 86400 IN A 130.208.224.144
vel-759 86400 IN A 130.208.226.249
manage 86400 IN A 130.208.224.160
vel-324 86400 IN A 130.208.225.69
sol-fjar1 86400 IN A 130.208.224.128
vel-700 86400 IN A 130.208.226.190
fjar-119 86400 IN A 130.208.228.119
magni2 300 IN CNAME magni
lerkilundur 86400 IN A 130.208.228.75
vel-227187 86400 IN A 130.208.227.187
ibm-007 86400 IN A 130.208.224.167
rcm 86400 IN A 130.208.224.232
ibm-008 86400 IN A 130.208.224.168
