@ 86400 IN SOA ns1 www 2012263029 3600 3600 604800 86400
@ 86400 IN MX 0 antispam
86400 IN MX 10 antispam1
o-fz 86400 IN CNAME VirtualHost
mkszy 86400 IN CNAME dwgk
vpn 86400 IN A 101.230.7.132
etc 86400 IN CNAME dwgk
VirtualHost 86400 IN A 202.121.126.238
zbc 86400 IN CNAME dwgk
tpxt 86400 IN A 202.121.126.207
ccsmobile 86400 IN CNAME wisorgcent
dqdj 86400 IN A 58.51.95.245
wisorgapp 86400 IN A 202.121.126.248
dwgk 86400 IN A 202.121.126.216
dwgl 86400 IN A 202.121.126.214
welcomes 86400 IN CNAME dwgk
te 86400 IN A 202.121.126.194
smtp 86400 IN CNAME antispam
xysq 86400 IN A 202.121.126.181
jxxt 86400 IN A 202.121.125.21
kyc 86400 IN CNAME dwgk
lpe 86400 IN CNAME dwgk
oldmail 86400 IN A 202.121.127.225
sns1 86400 IN A 58.32.217.130
sns2 86400 IN A 202.121.117.2
o-bwc 86400 IN CNAME VirtualHost
jgdw 86400 IN A 202.121.126.216
patent 86400 IN A 202.121.126.189
o-hqfz 86400 IN CNAME VirtualHost
pirc 86400 IN A 202.121.127.204
xxb 86400 IN CNAME dwgk
mt2 86400 IN A 202.121.126.231
research 86400 IN A 202.121.126.188
gz 86400 IN A 140.207.29.6
oa 86400 IN A 202.121.127.178
sevcen 86400 IN CNAME dwgk
stuarch 86400 IN A 202.121.126.177
xc 86400 IN CNAME VirtualHost
wisorgcdb 86400 IN A 202.121.126.153
xg 86400 IN A 202.121.126.181
xh 86400 IN A 202.121.127.204
sdns 86400 IN NS sns1
86400 IN NS sns2
infopub 86400 IN CNAME VirtualHost
jftp 86400 IN CNAME jftp.sdns
mapp 86400 IN CNAME wisorgent
sino-us 86400 IN CNAME dwgk
qzlx 86400 IN CNAME dwgk
xq 86400 IN A 202.121.127.201
xywz 86400 IN A 202.121.126.181
sms 86400 IN A 202.121.126.183
wisorgcent 86400 IN A 202.121.126.155
news1 86400 IN A 202.121.127.175
xy 86400 IN A 202.121.126.181
yx1 86400 IN A 202.121.126.200
chemsun 86400 IN A 123.1.179.35
gjc 86400 IN CNAME dwgk
eims 86400 IN A 202.121.127.204
ssipl 86400 IN A 202.121.127.204
cmateng 86400 IN CNAME dwgk
yw 86400 IN A 202.121.126.147
yx 86400 IN CNAME my.sdns
gis 86400 IN A 202.121.126.247
jczxjd 86400 IN CNAME dwgk
zcs-1 86400 IN A 202.121.126.171
miptc 86400 IN CNAME dwgk
xuebao 86400 IN A 202.121.126.213
mt1 86400 IN A 202.121.126.231
cuba 86400 IN CNAME VirtualHost
mt3 86400 IN A 202.121.126.231
antispam 86400 IN A 202.121.127.199
stwh 86400 IN A 202.121.126.227
test 86400 IN A 202.121.127.225
evam 86400 IN A 202.121.126.186
ftp 86400 IN CNAME ftp.sdns
wisorgcapp 86400 IN A 202.121.126.152
dbbak 86400 IN A 202.121.127.223
chem 86400 IN CNAME dwgk
hyqd 86400 IN A 202.121.126.101
ids 86400 IN A 202.121.127.222
gims 86400 IN CNAME gims.sdns
new 86400 IN A 202.121.127.204
trm 86400 IN A 202.121.127.148
view-ct.vmwareview 86400 IN A 192.168.108.47
oabackup 86400 IN A 202.121.127.228
skxy 86400 IN CNAME dwgk
jswm 86400 IN CNAME jswm.sdns
sues-nav 86400 IN A 202.121.112.216
eschool 86400 IN CNAME eschool.sdns
hanyu 86400 IN CNAME VirtualHost
ids1 86400 IN A 202.121.127.222
ids2 86400 IN A 202.121.127.224
welcome 86400 IN CNAME dwgk
jy.ceee 86400 IN CNAME VirtualHost
newso 86400 IN CNAME news.sdns
zzbxt 86400 IN A 202.121.126.168
o-xb 86400 IN A 202.121.127.201
ucp 86400 IN A 202.121.127.180
welcome-o 86400 IN CNAME welcome.sdns
hzjy 86400 IN CNAME VirtualHost
myoa 86400 IN A 202.121.126.202
gh 86400 IN CNAME dwgk
fzk 86400 IN CNAME VirtualHost
news 86400 IN CNAME dwgk
jszy 86400 IN A 202.121.127.190
wjdc1 86400 IN A 202.121.127.207
vcenter510.vmwareview 86400 IN A 192.168.108.44
yzs 86400 IN A 202.121.126.205
zsb 86400 IN CNAME bm
ns1 86400 IN A 202.121.127.200
ns2 86400 IN A 202.121.112.100
odi 86400 IN A 202.121.127.246
zwhzbx 86400 IN CNAME dwgk
jwc1 86400 IN A 202.121.127.245
app 86400 IN A 202.121.127.180
hxhgsyzx 86400 IN A 202.121.127.209
cmpjxxt 86400 IN A 202.121.125.22
fashion 86400 IN A 202.121.126.156
hr1 86400 IN A 202.121.127.207
hr2 86400 IN A 202.121.127.184
oanew 86400 IN A 202.121.127.185
antispam1 86400 IN A 58.32.217.150
cad 86400 IN CNAME VirtualHost
cae 86400 IN CNAME dwgk
libdig 86400 IN A 202.121.127.17
sxgzf 86400 IN A 202.121.127.144
gcsx 86400 IN CNAME VirtualHost
iyb 86400 IN A 202.121.127.187
chinese 86400 IN CNAME dwgk
idp 86400 IN A 202.121.127.213
car 86400 IN A 202.121.119.153
cat 86400 IN CNAME dwgk
oldjswm 86400 IN A 202.121.126.233
mail 86400 IN CNAME webmail
jcxy 86400 IN CNAME dwgk
webmail 86400 IN A 202.121.126.225
faculty 86400 IN MX 0 webmail
faculty 86400 IN A 202.121.126.154
oic 86400 IN A 202.121.127.201
mtome 86400 IN A 202.121.127.209
bm 86400 IN A 202.121.126.161
ghold 86400 IN CNAME VirtualHost
otrs 86400 IN A 202.121.126.191
ccs 86400 IN CNAME wisorgcent
db-vip 86400 IN A 202.121.127.229
qmail 86400 IN MX 0 qmail
qmail 86400 IN A 202.121.127.192
archives 86400 IN CNAME dwgk
zzb 86400 IN CNAME dwgk
alumni1 86400 IN A 202.121.127.186
ccspush 86400 IN CNAME wisorgcent
zcs 86400 IN A 202.121.126.218
trmis 86400 IN A 202.121.127.201
wszb 86400 IN CNAME wszb.sdns
cfd 86400 IN CNAME dwgk
cxsyyy 86400 IN CNAME VirtualHost
lcurt 86400 IN A 202.121.127.209
tyb 86400 IN CNAME dwgk
vfp 86400 IN A 202.121.127.186
www.phylab 86400 IN CNAME phylab
cj 86400 IN CNAME VirtualHost
bw1 86400 IN A 222.69.242.61
alumni 86400 IN A 202.121.127.186
curt 86400 IN CNAME dwgk
evaluation 86400 IN A 202.121.127.204
sjpt 86400 IN A 202.121.125.162
exam 86400 IN CNAME my.sdns
bsdt 86400 IN A 202.121.127.180
jpkc 86400 IN CNAME dwgk
cm 86400 IN CNAME dwgk
console 86400 IN A 202.121.127.201
extmail 86400 IN A 202.121.127.194
www.highermath 86400 IN CNAME VirtualHost
vip 86400 IN MX 0 eyou-antispam
86400 IN MX 20 eyou-mail
suesmsp 86400 IN A 202.121.127.207
sues-msg 86400 IN A 202.121.112.110
lib 86400 IN CNAME dwgk
yywz 86400 IN CNAME dwgk
o-xxb 86400 IN A 202.121.127.201
ecard 86400 IN CNAME sues-msg
infopub1 86400 IN A 202.121.127.186
blog 86400 IN A 202.121.126.217
cme 86400 IN CNAME dwgk
zmail 86400 IN MX 0 zmail
zmail 86400 IN A 202.121.126.218
bwc 86400 IN A 202.121.124.90
cs 86400 IN A 202.121.126.181
infopub-n 86400 IN CNAME VirtualHost
lx 86400 IN A 202.121.126.181
xb 86400 IN CNAME dwgk
vote 86400 IN A 202.121.126.184
ww 86400 IN A 202.121.127.204
wel 86400 IN CNAME welcome.sdns
catlab 86400 IN A 202.121.127.209
o-gjc 86400 IN A 202.121.127.201
sf880 86400 IN A 202.121.127.199
shbzyj 86400 IN CNAME dwgk
bwcaq 86400 IN CNAME bwc
ccsim 86400 IN CNAME wisorgcent
owb 86400 IN A 202.121.127.227
51job 86400 IN CNAME VirtualHost
sues-antispam 86400 IN A 202.121.114.218
jxcg 86400 IN CNAME dwgk
www.youth 86400 IN CNAME youth
email 86400 IN MX 0 email
email 86400 IN A 202.121.127.194
pcomm 86400 IN A 202.121.127.247
ccscon 86400 IN CNAME wisorgcent
pingshen 86400 IN CNAME VirtualHost
pop 86400 IN CNAME mail
wsxt 86400 IN A 202.121.127.248
app1 86400 IN A 202.121.127.196
app2 86400 IN A 202.121.127.251
volunteer 86400 IN CNAME VirtualHost
urbantransit 86400 IN A 202.121.120.210
ceee 86400 IN CNAME dwgk
info 86400 IN CNAME VirtualHost
my 86400 IN CNAME my.sdns
hqfz 86400 IN CNAME dwgk
dma 86400 IN CNAME dwgk
elib 86400 IN A 202.121.127.10
at 86400 IN A 202.121.127.186
cc 86400 IN CNAME VirtualHost
av 86400 IN A 202.121.127.208
phylab 86400 IN A 202.121.125.148
feed2js 86400 IN A 202.121.127.175
cwc 86400 IN CNAME dwgk
db 86400 IN A 202.121.127.221
tplan 86400 IN A 202.121.127.176
dbbak-vip 86400 IN A 202.121.127.230
bw 86400 IN A 202.121.116.2
portal 86400 IN A 202.121.127.180
jjc 86400 IN CNAME dwgk
dangb 86400 IN CNAME dwgk
ntp 86400 IN A 202.121.126.245
ecourse 86400 IN CNAME ecourse.sdns
expo2010 86400 IN CNAME expo2010.sdns
cw 86400 IN A 202.121.127.197
nhjs 86400 IN A 202.121.126.151
cyb 86400 IN CNAME dwgk
cmpjxxt1 86400 IN A 192.168.15.31
cmpjxxt2 86400 IN A 192.168.15.32
cmpjxxt3 86400 IN A 192.168.15.33
cmpjxxt4 86400 IN A 192.168.15.34
en 86400 IN CNAME dwgk
wisorgent 86400 IN A 202.121.126.250
