@ 86400 IN SOA dns hostmaster 2015042302 7200 3600 7200 600
@ 86400 IN MX 10 mailin1
86400 IN MX 10 mailin2
mg105 86400 IN A 193.170.131.105
tawmsupport 86400 IN A 193.170.129.61
u-bg18-017a 86400 IN A 192.168.11.66
mg106 86400 IN A 193.170.131.106
uu128-002 86400 IN A 193.170.128.2
uu128-003 86400 IN A 193.170.128.3
uu128-004 86400 IN A 193.170.128.4
usv1-br21-zid 86400 IN A 192.168.248.91
uu128-006 86400 IN A 193.170.128.6
uu128-007 86400 IN A 193.170.128.7
uu128-008 86400 IN A 193.170.128.8
uu128-009 86400 IN A 193.170.128.9
uu129-016 86400 IN A 193.170.129.16
mg108 86400 IN A 193.170.131.108
rp-ls15-0f0a 86400 IN A 192.168.184.11
uu131-001 86400 IN A 193.170.131.1
s-s1-esx1-ilo 86400 IN A 192.168.107.230
mg109 86400 IN A 193.170.131.109
uu131-243 86400 IN A 193.170.131.243
uu128-040 86400 IN A 193.170.128.40
rp-mg39-0f0a 86400 IN A 192.168.184.13
p-hp08-127a 86400 IN A 192.168.247.95
p-hp08-127b 86400 IN A 192.168.247.155
uu131-002 86400 IN A 193.170.131.2
uu128-054 86400 IN A 193.170.128.54
uu128-055 86400 IN A 193.170.128.55
uu128-064 86400 IN A 193.170.128.64
tamgcpu 86400 IN A 193.170.191.34
uu131-249 86400 IN A 193.170.131.249
mg120 86400 IN A 193.170.131.120
ap07-pm 86400 IN A 192.168.248.37
ap-bu03-205a 86400 IN A 192.168.248.155
czadek 86400 IN A 193.170.131.181
mumuth209 86400 IN A 193.170.191.209
uu129-020 86400 IN A 193.170.129.20
ap-bu03-207a 86400 IN A 192.168.248.156
t-pb05-foya 86400 IN A 193.170.100.55
ap-bu03-209a 86400 IN A 192.168.248.154
kugwm093 86400 IN A 193.170.129.93
ap34-rk 86400 IN A 192.168.248.126
ntp1 86400 IN CNAME ntp
ntp2 86400 IN A 193.170.53.9
wme07 86400 IN A 193.170.129.77
w-br21-ESX1 86400 IN A 193.170.191.97
w-br21-esx2 86400 IN A 193.170.191.82
kug100-070 86400 IN A 193.170.100.70
uu-rk130 86400 IN A 193.170.131.130
cs-doc-v6 86400 IN AAAA 2001:628:20d0:11::5
comsys-nb 86400 IN A 193.170.190.47
uu128-194 86400 IN A 193.170.128.194
uu128-222 86400 IN A 193.170.128.222
uu128-226 86400 IN A 193.170.128.226
uu128-227 86400 IN A 193.170.128.227
comsys-v6 86400 IN AAAA 2001:628:20d0:21::68
uu128-231 86400 IN A 193.170.128.231
uu128-232 86400 IN A 193.170.128.232
kug100-080 86400 IN A 193.170.100.80
uu-rk138 86400 IN A 193.170.131.138
uu-rk139 86400 IN A 193.170.131.139
uu-rk141 86400 IN A 193.170.131.141
kug100-083 86400 IN A 193.170.100.83
s-www-chef1 86400 IN A 193.170.53.55
netadmin1 86400 IN A 193.170.190.74
dns-m 86400 IN A 193.170.190.57
aap 86400 IN CNAME s-www1
w-ls18-023a 86400 IN A 193.170.130.24
s-co-wsl1 86400 IN A 193.170.53.41
ace 86400 IN A 193.170.190.12
mg10a 86400 IN A 193.170.131.166
uu247-008 86400 IN A 192.168.247.8
kug250-200 86400 IN A 192.168.250.200
uu-rk150 86400 IN A 193.170.131.150
acs 86400 IN CNAME netadmin1
kug100-102 86400 IN A 193.170.100.102
wcs-v70-2 86400 IN A 193.170.101.254
kug100-093 86400 IN A 193.170.100.93
s-rld1-ilo-new 600 IN A 192.168.107.239
kug100-104 86400 IN A 193.170.100.104
kug100-105 86400 IN A 193.170.100.105
kug100-106 86400 IN A 193.170.100.106
ap22-rk 86400 IN A 192.168.248.72
kug100-108 86400 IN A 193.170.100.108
kug100-109 86400 IN A 193.170.100.109
uu-rk158 86400 IN A 193.170.131.158
akg 86400 IN CNAME s-www1
kugmm234 86400 IN A 193.170.128.234
kugmm235 86400 IN A 193.170.128.235
kugmm236 86400 IN A 193.170.128.236
uu131-013 86400 IN A 193.170.131.13
messenger 86400 IN CNAME s-im1
kugmm238 86400 IN A 193.170.128.238
p-br21-foya 86400 IN A 193.170.100.62
p-mg39-010a 86400 IN A 192.168.247.135
kugmm239 86400 IN A 193.170.128.239
kugmm241 86400 IN A 193.170.128.241
install 86400 IN CNAME s-inst1
s-dns3 86400 IN A 192.168.107.180
kugmm244 86400 IN A 193.170.128.244
asd 86400 IN CNAME s-www1
kugmm248 86400 IN A 193.170.128.248
s-oxe 86400 IN A 192.168.152.11
uu190-018 86400 IN A 193.170.190.18
ap09-mm 86400 IN A 192.168.248.19
uu129-004 86400 IN A 193.170.129.4
stream 86400 IN CNAME s-st1
opac 86400 IN CNAME s-do
w-br21-035b 86400 IN A 193.170.100.13
uu190-054 86400 IN A 193.170.190.54
ap10-pm 86400 IN A 192.168.248.40
wilma 86400 IN CNAME s-www1
uu190-064 86400 IN A 193.170.190.64
uu190-066 86400 IN A 193.170.190.66
uu190-067 86400 IN A 193.170.190.67
uu190-068 86400 IN A 193.170.190.68
uu129-010 86400 IN A 193.170.129.10
ap10-rk 86400 IN A 192.168.248.60
w-rk-info 86400 IN A 193.170.128.52
sw2-rk-t1og 86400 IN A 193.170.190.107
uu129-011 86400 IN A 193.170.129.11
uu190-078 86400 IN A 193.170.190.78
s-ehd1 86400 IN A 193.170.129.206
uu191-074 86400 IN A 193.170.191.74
w-br21-035c 86400 IN A 193.170.100.14
ta-hg 86400 IN A 193.170.191.50
p-os08-foya 86400 IN A 193.170.131.197
tapmlioe1 86400 IN A 193.170.129.174
nx1-br21-sz 86400 IN A 193.170.190.3
s-dhcp-m 86400 IN A 193.170.190.89
uu129-015 86400 IN A 193.170.129.15
p-br17-162a 86400 IN A 193.170.130.90
r-vlan3 86400 IN A 193.170.130.1
kug250-208 86400 IN A 192.168.250.208
r-vlan5 86400 IN A 193.170.131.65
r-vlan6 86400 IN A 193.170.128.1
r-vlan8 86400 IN A 193.170.191.49
musiktheorie 86400 IN CNAME s-www1
uu129-017 86400 IN A 193.170.129.17
w-br21-035d 86400 IN A 193.170.100.15
uu190-130 86400 IN A 193.170.190.130
uu190-131 86400 IN A 193.170.190.131
uu-rk-wlan-100-190 86400 IN A 193.170.100.190
uu129-018 86400 IN A 193.170.129.18
t-lg14-foyb 86400 IN A 193.170.128.233
t-lg14-foyc 86400 IN A 193.170.100.52
uu131-019 86400 IN A 193.170.131.19
uu190-145 86400 IN A 193.170.190.145
uu190-146 86400 IN A 193.170.190.146
uu190-147 86400 IN A 193.170.190.147
uu190-148 86400 IN A 193.170.190.148
dev 86400 IN A 193.170.128.163
kug250-210 86400 IN A 192.168.250.210
uu190-154 86400 IN A 193.170.190.154
uu190-155 86400 IN A 193.170.190.155
cos 86400 IN CNAME s-www1
uu190-157 86400 IN A 193.170.190.157
uu190-158 86400 IN A 193.170.190.158
uu190-159 86400 IN A 193.170.190.159
uu-rk-wlan-100-201 86400 IN A 193.170.100.201
uu131-021 86400 IN A 193.170.131.21
s-s1-esx1 86400 IN A 192.168.107.200
kugwlan101-094 86400 IN A 193.170.101.94
s-s1-esx3 86400 IN A 192.168.107.202
s-s1-esx4 86400 IN A 192.168.107.203
dns1 86400 IN CNAME dns
dns2 86400 IN CNAME ns2
ap03-br21 86400 IN A 192.168.248.132
sw-ls82-k916a 86400 IN A 193.170.190.108
uu190-198 86400 IN A 193.170.190.198
bb 86400 IN A 193.170.130.3
uu129-030 86400 IN A 193.170.129.28
86400 IN A 193.170.129.30
uu190-212 86400 IN A 193.170.190.212
uu190-213 86400 IN A 193.170.190.213
uu190-214 86400 IN A 193.170.190.214
uu190-215 86400 IN A 193.170.190.215
uu190-216 86400 IN A 193.170.190.216
uu190-217 86400 IN A 193.170.190.217
uu190-218 86400 IN A 193.170.190.218
uu190-219 86400 IN A 193.170.190.219
wism2-m 86400 IN A 192.168.248.9
db 600 IN A 193.170.128.164
uu191-078 86400 IN A 193.170.191.78
w-br21-foya 86400 IN A 193.170.100.30
w-br21-foyb 86400 IN A 193.170.100.23
u-bg17-k50a 86400 IN A 192.168.11.33
uu-rk-wlan-100-203 86400 IN A 193.170.100.203
dns 86400 IN A 193.170.128.170
tarkalarmbox 86400 IN A 193.170.191.226
vl-bg17-056a 86400 IN A 192.168.247.27
egm 86400 IN CNAME s-www1
uu-rk-wlan-100-204 86400 IN A 193.170.100.204
w-bg21-036c 86400 IN A 192.168.191.25
bb-mobile-10v6 86400 IN AAAA 2001:628:20d0:10::20
usv1-pm-17 86400 IN A 192.168.248.94
kugpb118 86400 IN A 193.170.128.118
w-pt116-016b 86400 IN A 192.168.172.12
w-pt116-016c 86400 IN A 192.168.172.13
dwh 86400 IN CNAME s-dwh1
uu190-097 86400 IN A 193.170.190.97
w-br21-035j 86400 IN A 193.170.100.21
uu-rk-wlan-100-206 86400 IN A 193.170.100.206
pa 86400 IN A 193.170.190.126
tawmlioe 86400 IN A 193.170.129.59
dev-schubert 600 IN CNAME s-wwwdev1
usv1-pm-2b 86400 IN A 192.168.248.95
w-br21-036b 86400 IN A 193.170.100.3
uu-rk-wlan-100-207 86400 IN A 193.170.100.207
uu250-003 86400 IN A 192.168.250.3
uu250-004 86400 IN A 192.168.250.4
uu250-005 86400 IN A 192.168.250.5
uu250-006 86400 IN A 192.168.250.6
uu250-007 86400 IN A 192.168.250.7
uu250-008 86400 IN A 192.168.250.8
uu250-009 86400 IN A 192.168.250.9
w-br21-036c 86400 IN A 193.170.100.4
uu-rk-wlan-100-208 86400 IN A 193.170.100.208
iaem 86400 IN A 193.170.191.189
s-vdp-l3 86400 IN A 192.168.107.86
w-br21-036d 86400 IN A 193.170.100.5
uu-rk-wlan-100-199 86400 IN A 193.170.100.199
kv-bg21-k10a 86400 IN A 192.168.107.211
uu131-029 86400 IN A 193.170.131.29
kug250-220 86400 IN A 192.168.250.220
han 86400 IN CNAME s-han
w-br21-036e 86400 IN A 193.170.100.6
uu128-230 86400 IN A 193.170.128.230
gr1 86400 IN A 193.170.191.86
gr2 86400 IN A 193.170.191.87
gr3 86400 IN A 193.170.191.88
gr4 86400 IN A 193.170.191.89
p-bg21-010a 86400 IN A 192.168.247.15
blackberry 86400 IN A 193.170.129.133
w-br21-036f 86400 IN A 193.170.100.7
ap35-rk 86400 IN A 192.168.248.127
w-br21-036g 86400 IN A 193.170.100.8
s-emc1 86400 IN A 193.170.53.34
s-emc2 86400 IN A 193.170.53.35
w-br21-019c 86400 IN A 193.170.190.188
sw2-rk-kg 86400 IN A 193.170.190.113
ap08-br21 86400 IN A 192.168.248.137
s-smtp1 86400 IN A 193.170.129.210
p-bg21-019a 86400 IN A 192.168.247.16
p-ls82-004a 86400 IN A 192.168.247.104
p-ls82-004b 86400 IN A 192.168.247.105
idm 86400 IN CNAME s-idm1
iem 600 IN CNAME s-www1
sw-ls19-031a 86400 IN A 192.168.253.11
igp 86400 IN CNAME s-www1
spamfilter 86400 IN A 193.170.129.139
p2p-sensor 86400 IN A 193.170.190.77
uu131-036 86400 IN A 193.170.131.36
ime 86400 IN A 193.170.130.42
mailout1a 600 IN A 193.170.129.212
mailout1b 600 IN A 193.170.129.213
s-dwh1 86400 IN A 193.170.129.229
s-dwh2 86400 IN A 192.168.107.134
mailout2a 600 IN A 193.170.129.225
mailout2b 600 IN A 193.170.129.227
wlan-con1 86400 IN A 192.168.248.5
s-pcs-mg39 86400 IN A 192.168.152.26
ap23-rk 86400 IN A 192.168.248.73
ap-hp08-2f0a 86400 IN A 192.168.248.162
w-br21-019d 86400 IN A 193.170.190.189
t-wm03-foya 86400 IN A 193.170.129.90
uu131-020 86400 IN A 193.170.131.20
uu-rk-wlan-100-220 86400 IN A 193.170.100.220
s-piwik1 86400 IN A 193.170.52.14
p-lg14-021a 86400 IN A 193.170.128.250
p-lg14-021b 86400 IN A 192.168.247.121
kugcard 86400 IN CNAME s-kugcard1
p-br18-012a 86400 IN A 193.170.130.121
86400 IN A 193.170.130.252
w-bg03-111a 86400 IN A 193.170.128.201
wcs-v70-1 86400 IN A 193.170.101.253
kug250-229 86400 IN A 192.168.250.229
sw1-mm-PKE 86400 IN A 193.170.191.197
s-filr-idx1 86400 IN A 193.170.53.24
vl-mg39-106a 86400 IN A 192.168.247.136
p-br18-014a 86400 IN A 193.170.130.14
jazzforschung 86400 IN CNAME s-www1
uu131-041 86400 IN A 193.170.131.41
p-ls82-026a 86400 IN A 193.170.128.60
sw-ls82-122b 86400 IN A 193.170.190.109
p-br18-016a 86400 IN A 193.170.130.209
s-dns2 86400 IN CNAME ns2
p-ls82-029a 86400 IN A 193.170.128.63
antivirus 86400 IN CNAME s-epo1
s-rtn-mg1 86400 IN A 193.170.53.61
smtp-internal 86400 IN CNAME mailout1b
sw-bg21-104a 86400 IN A 193.170.190.6
ap11-mm 86400 IN A 192.168.248.21
p-ls82-036a 86400 IN A 192.168.247.106
s-s2-esx3-ilo 86400 IN A 192.168.107.236
s-am1 86400 IN A 192.168.107.186
s-file2 86400 IN A 193.170.53.16
usv1-pm-302 86400 IN A 192.168.248.96
reinhard 86400 IN CNAME mg10a
ap11-rk 86400 IN A 192.168.248.61
uu-rk-wlan-100-225 86400 IN A 193.170.100.225
s-idm-mg1 86400 IN A 193.170.53.64
cisco-pm-vlan4a 86400 IN A 193.170.100.2
s-epo1 86400 IN A 193.170.129.197
p-br17-262a 86400 IN A 193.170.130.122
ap-hp08-050a 86400 IN A 192.168.248.165
uu-rk-wlan-100-226 86400 IN A 193.170.100.226
w-pm15-info 86400 IN A 193.170.130.163
imagemanip.phaidra 86400 IN CNAME phaidra
lms 86400 IN A 193.170.128.189
sw-bg17-056a 86400 IN A 193.170.190.33
w-bg21-033a 86400 IN A 193.170.191.90
uu-rk-wlan-100-227 86400 IN A 193.170.100.227
u-lg14-e22a 86400 IN A 192.168.11.53
u-lg14-e22b 86400 IN A 192.168.11.54
sw1-mm-sz-wlan 86400 IN A 193.170.129.1
u-ls82-k916a 86400 IN A 192.168.11.71
uu190-091 86400 IN A 193.170.190.91
s-oxe-c2 86400 IN A 192.168.152.13
w-bg21-035a 86400 IN A 192.168.191.11
w-bg21-035b 86400 IN A 192.168.191.12
w-bg21-035c 86400 IN A 192.168.191.13
w-bg21-035d 86400 IN A 192.168.191.14
w-bg21-035e 86400 IN A 192.168.191.15
w-bg21-035f 86400 IN A 192.168.191.16
w-bg21-035g 86400 IN A 192.168.191.17
w-bg21-035h 86400 IN A 192.168.191.18
w-bg21-035i 86400 IN A 192.168.191.19
teaming 86400 IN CNAME s-vibe1
w-bg21-035k 86400 IN A 192.168.191.21
w-bg21-035l 86400 IN A 192.168.191.22
w-bg21-036d 86400 IN A 192.168.191.26
w-bg21-036e 86400 IN A 192.168.191.27
w-bg21-036f 86400 IN A 192.168.191.28
hauer 86400 IN A 193.170.129.53
w-bg21-036h 86400 IN A 192.168.191.30
w-bg21-036i 86400 IN A 192.168.191.31
w-bg21-036j 86400 IN A 192.168.191.32
nas 86400 IN A 193.170.128.188
n-lg14-sw09d 86400 IN A 193.170.128.252
s-pcs-ls82 86400 IN A 192.168.152.23
s-br1 86400 IN A 192.168.107.208
s-br2 86400 IN A 193.170.53.30
s-br3 86400 IN A 193.170.53.63
s-vdp-l5 86400 IN A 192.168.107.88
s-vdp-l6 86400 IN A 192.168.107.89
p-ls15-0f6a 86400 IN A 192.168.247.54
w-ls82-023a 86400 IN A 193.170.128.78
w-ls82-023b 86400 IN A 193.170.128.97
w-ls82-023c 86400 IN A 193.170.128.98
s-db2 86400 IN A 192.168.107.110
s-db3 86400 IN A 192.168.107.122
s-db4 86400 IN A 192.168.107.123
86400 IN A 193.170.128.165
ap13-mm 86400 IN A 192.168.248.23
w-ls82-025a 86400 IN A 193.170.128.99
uu131-050 86400 IN A 193.170.131.50
w-haustechnik 86400 IN A 193.170.191.216
sw-pt116-012a 86400 IN A 193.170.190.16
w-ls82-028a 86400 IN A 193.170.128.111
s-vdp-s1 86400 IN A 192.168.107.90
s-vdp-s2 86400 IN A 192.168.107.91
kug100-100 86400 IN A 193.170.100.100
s-vdp-s4 86400 IN A 192.168.107.93
ap01-br19 86400 IN A 192.168.248.81
s-vdp-s3 86400 IN A 192.168.107.92
s-wwwdev1 86400 IN A 193.170.128.179
s-wwwdev2 86400 IN A 193.170.128.178
s-vdp1 86400 IN A 192.168.107.143
ns2 86400 IN A 193.170.190.70
s-vdp-w1 86400 IN A 192.168.107.80
s-vdp-w2 86400 IN A 192.168.107.81
s-vdp-w3 86400 IN A 192.168.107.82
s-vdp-w4 86400 IN A 192.168.107.83
oeh 86400 IN A 193.170.52.20
uu52-001 86400 IN A 193.170.52.1
uu52-002 86400 IN A 193.170.52.2
w-lg14-033b 86400 IN A 193.170.128.254
s-dm1 600 IN A 193.170.129.200
s-dm2 86400 IN A 192.168.107.149
p-os08-1f0a 86400 IN A 192.168.247.141
uu131-053 86400 IN A 193.170.131.53
campusonline 86400 IN A 193.170.130.142
sw-ls19-103a 86400 IN A 192.168.253.12
s-rld1-ilo 86400 IN A 192.168.107.59
webmail 86400 IN A 193.170.129.135
uu131-054 86400 IN A 193.170.131.54
bib3-iem 86400 IN A 193.170.191.162
p-bg17-2f0a 86400 IN A 192.168.247.28
dev-studieren 86400 IN CNAME s-wwwdev1
uu191-076 86400 IN A 193.170.191.76
filer 86400 IN CNAME s-filr-fe1
omd 86400 IN CNAME s-monitor2
w-ls82-043a 86400 IN A 193.170.128.80
u-bu03-104a 86400 IN A 192.168.11.57
sw-lg21-214a 86400 IN A 193.170.190.123
w-lg14-016a 86400 IN A 193.170.128.240
t-br21-foya 86400 IN A 193.170.100.50
s-el1 86400 IN A 193.170.191.244
s-el2 86400 IN A 193.170.191.249
uu247-009 86400 IN A 192.168.247.9
s-vdp5 86400 IN A 192.168.107.118
s-dhcp1 86400 IN A 192.168.107.130
s-dhcp2 86400 IN A 193.170.128.168
s-cmb-ls15 86400 IN A 192.168.152.18
mailin1 86400 IN A 193.170.129.207
mailin2 86400 IN A 193.170.129.217
p-cad1 86400 IN A 193.170.129.62
p-bg21-107a 86400 IN A 192.168.247.12
st-s2-spb 86400 IN A 192.168.107.227
s-co-dbdev1 600 IN A 192.168.107.166
uu190-140 86400 IN A 193.170.190.140
s-webmaildev1 86400 IN A 192.168.107.129
sw3-br19-sz 86400 IN A 193.170.190.55
s-rds1 86400 IN A 193.170.53.26
s-rds2 86400 IN A 193.170.53.27
kug100-107 86400 IN A 193.170.100.107
w-bg21-036b 86400 IN A 192.168.191.24
s-ntp1 86400 IN CNAME ntp
pop 86400 IN CNAME mail
uu-rk-wlan-100-240 86400 IN A 193.170.100.240
u-ls15-302a 86400 IN A 192.168.11.48
haydn 86400 IN A 193.170.128.48
www-v6 86400 IN AAAA 2001:628:20d0:10::80
w-bg21-036g 86400 IN A 192.168.191.29
file 86400 IN CNAME s-filr-fe1
tabgcpu 86400 IN A 193.170.128.196
filr 86400 IN CNAME s-filr-fe1
tamglioe 86400 IN A 193.170.191.35
u-bg21-k10b 86400 IN A 192.168.11.14
kug100-110 86400 IN A 193.170.100.110
p-ls82-104a 86400 IN A 192.168.248.118
veraprint 86400 IN A 193.170.130.168
s-vdp-l1 86400 IN A 192.168.107.84
p-ls82-105a 86400 IN A 192.168.247.108
s-vdp-l2 86400 IN A 192.168.107.85
ap30-rk 86400 IN A 192.168.248.80
dev-institut17-1 86400 IN CNAME s-wwwdev1
s-vdp-l4 86400 IN A 192.168.107.87
genderforschung 86400 IN CNAME s-www1
fedora 86400 IN A 131.130.4.21
uu-rk-wlan-100-130 86400 IN A 193.170.100.130
uu-rk-wlan-100-131 86400 IN A 193.170.100.131
uu-rk-wlan-100-132 86400 IN A 193.170.100.132
uu-rk-wlan-100-133 86400 IN A 193.170.100.133
uu-rk-wlan-100-134 86400 IN A 193.170.100.134
uu-rk-wlan-100-135 86400 IN A 193.170.100.135
uu-rk-wlan-100-136 86400 IN A 193.170.100.136
uu-rk-wlan-100-137 86400 IN A 193.170.100.137
uu-rk-wlan-100-138 86400 IN A 193.170.100.138
uu-rk-wlan-100-139 86400 IN A 193.170.100.139
uu-rk-wlan-100-141 86400 IN A 193.170.100.141
moxapke 86400 IN A 193.170.191.45
p-ls82-109a 86400 IN A 192.168.247.107
uu-rk-wlan-100-144 86400 IN A 193.170.100.144
uu-rk-wlan-100-145 86400 IN A 193.170.100.145
uu-rk-wlan-100-146 86400 IN A 193.170.100.146
uu-rk-wlan-100-147 86400 IN A 193.170.100.147
rp1 600 IN CNAME s-co-rp1
rp2 600 IN CNAME s-co-rp2
uu-rk-wlan-100-151 86400 IN A 193.170.100.151
uu-rk-wlan-100-152 86400 IN A 193.170.100.152
s-han 86400 IN A 193.170.129.228
sw1-br21-sz-v4 86400 IN A 193.170.100.59
uu-rk-wlan-100-155 86400 IN A 193.170.100.155
uu-rk-wlan-100-156 86400 IN A 193.170.100.156
uu-rk-wlan-100-157 86400 IN A 193.170.100.157
uu-rk-wlan-100-158 86400 IN A 193.170.100.158
uu-rk-wlan-100-159 86400 IN A 193.170.100.159
uu-rk-wlan-100-161 86400 IN A 193.170.100.161
uu-rk-wlan-100-162 86400 IN A 193.170.100.162
uu-rk-wlan-100-163 86400 IN A 193.170.100.163
uu-rk-wlan-100-166 86400 IN A 193.170.100.166
uu-rk-wlan-100-167 86400 IN A 193.170.100.167
uu-rk-wlan-100-168 86400 IN A 193.170.100.168
uu-rk-wlan-100-169 86400 IN A 193.170.100.169
